"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Efemp1",1498.7201746229,5.48684441828453,0.685774501700352,8.00094550713115,1.23467424184676e-15,1.21542307110218e-13,0
"Twist2",185.4591490192,5.45710431111164,0.635036983157514,8.59336456906489,8.44590257014931e-18,1.17014851997356e-15,0
"Mrgprg",159.534242845352,5.4360559310385,1.28195511357484,4.24044170772844,2.23080364246446e-05,0.000205792323688013,0
"Cpxm1",2177.42362150926,5.43546067294345,0.62652639601008,8.675549358428,4.11558843771907e-18,6.09718314788025e-16,0
"Scara5",368.007960478413,5.4328639386669,0.703519212158756,7.72241019828883,1.14150339716577e-14,9.13385846619864e-13,0
"Fbn1",1624.31063711384,5.42445936769124,0.529046417712027,10.2532768129316,1.14398184351772e-24,1.22267145175398e-21,0
"Postn",22172.0888397205,5.38187011292926,0.61209281220336,8.79257198521259,1.46174473907845e-18,2.51403293457826e-16,0
"Col5a3",1744.18829393231,5.37492819205184,0.596725202926324,9.00737586697083,2.11045737784111e-19,4.57663387603428e-17,0
"RGD1566401",224.953661526933,5.36210776084877,0.78706281855399,6.81280786545115,9.57119361540113e-12,4.44763261078407e-10,0
"Mmp23",215.711390056135,5.34352430988517,0.572527969141807,9.33321094844478,1.0271114041986e-20,2.95551306558148e-18,0
"Cpz",439.063149994844,5.33377408597557,0.843188706255083,6.32571812977057,2.52057561018544e-10,8.47536468656286e-09,0
"Col6a2",8582.63766228457,5.32096860316414,0.586196291218413,9.07711065879394,1.11495232054254e-19,2.52773205640575e-17,0
"Lum",4358.49596427434,5.31466818284506,0.619719505556118,8.57592529393735,9.82933353303137e-18,1.34932401518118e-15,0
"Lrrc15",234.781828724015,5.28927143078534,0.649388524340389,8.14500292587997,3.79272739538115e-16,4.14237810343709e-14,0
"Gldn",585.560695068991,5.2829342463672,0.776256682751047,6.80565380467261,1.00591345478322e-11,4.64551945182759e-10,0
"Pdgfra",896.610182201004,5.25383378821935,0.582464342476021,9.02000930372084,1.88073328245705e-19,4.13844295667718e-17,0
"Fndc1",1047.48831865171,5.23214486963787,0.566595377077797,9.23435855869941,2.59838160899372e-20,6.82097965181982e-18,0
"Olfml1",145.745807794696,5.21968095636805,0.727192609130226,7.17785204474391,7.08151334401735e-13,4.10700326226867e-11,0
"Islr",522.796966427308,5.19102838775404,0.59330901452399,8.74928285375672,2.14712861896391e-18,3.49211799190837e-16,0
"Col13a1",285.376654634756,5.19039188904692,0.685058400681747,7.57656848508334,3.54814444774047e-14,2.64133758067367e-12,0
