"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Gins4",263.940053294295,0.0100172412025737,0.212230438033665,0.0471998328580218,0.962353960735174,0.982460531112801,263.940053294295,-0.0680106943780819,0.211999159119942,-0.320806434612337,0.748357082821178,0.87127604176227,263.940053294295,-0.293413310436068,0.202784670619253,-1.44692056623441,0.147919172304161,0.323112006270698
"Mtr",164.194717217574,0.207891933511663,0.280192117010312,0.741962107035338,0.45811029450383,0.70357287237638,164.194717217574,0.266838424925277,0.279621136058672,0.954285604752305,0.339939092697809,0.568136977344404,164.194717217574,0.357275819191996,0.266691545825566,1.3396593359794,0.180356123526853,0.368346806216434
"Pggt1b",303.487209707154,-0.0854853764506175,0.213083399485044,-0.401182713703691,0.688285606722917,0.853454097037936,303.487209707154,0.0738222166061604,0.212490386130641,0.347414384012525,0.728280028652815,0.859343821872612,303.487209707154,0.328302841024994,0.202509555865567,1.62117209541921,0.104980735517147,0.26073422204684
"Aco2",2940.31720837618,0.155188149164058,0.168662898176847,0.920108398714574,0.357516115854951,0.6200665283149,2940.31720837618,0.133731008917151,0.168622631471689,0.793078649941505,0.427732000986322,0.645764222268311,2940.31720837618,0.124716401079938,0.16071558706793,0.7760068787057,0.437744924381909,0.630931252574761
"Fam81a",34.282373739095,0.921370073494498,0.571351951552911,1.6126138555933,0.106828426363093,0.334591921360058,34.282373739095,0.394212647934852,0.572633968875337,0.68841994949949,0.491188364574039,0.695551892652506,34.282373739095,0.386535475727043,0.547062850709975,0.706565023059781,0.479836831432883,0.665644245871009
"Rasl12",7.23769116714341,-0.416201873376664,1.26564422214053,-0.328845868448529,0.742272191376539,NA,7.23769116714341,-1.86166195825423,1.28606426869667,-1.44756526059221,0.147738672628351,0.352839102676461,7.23769116714341,-0.638871396395593,1.20734395087218,-0.529154426900533,0.596698327907329,NA
"Dpp8",1075.2353133658,0.313985114077512,0.153627978605536,2.04380163644356,0.0409731474486299,0.208389580625956,1075.2353133658,0.360928802472545,0.153477062236861,2.35167911876972,0.0186888892049496,0.111552142315481,1075.2353133658,0.46280284487216,0.146308557630278,3.16319737114533,0.00156046498016949,0.0192542085397683
"Isg15",1133.7756439262,0.332501853237998,0.326064201961985,1.01974350829461,0.307850121415517,0.574475271646561,1133.7756439262,0.0940297614370611,0.326066935454265,0.288375640744015,0.77305921195988,0.884467017028344,1133.7756439262,-0.0649091489842036,0.310807682004422,-0.208840233824337,0.834572961729511,0.909854751440246
"Cdhr5",11.8742508682878,0.00700941274648457,0.633614923264939,0.0110625752158203,0.991173522064511,0.995286052544913,11.8742508682878,-0.353144234715871,0.635500575782445,-0.555694594424357,0.578419652544377,0.76073407182129,11.8742508682878,0.489640209769665,0.597267773669545,0.819800148870199,0.412330046183214,0.609950076510393
"Zfp37",8.6588108464293,-0.0780158929058942,0.712430448462171,-0.109506679668586,0.912800624023388,0.959578495337606,8.6588108464293,-0.18127778386038,0.71052036438636,-0.255133832816938,0.798619733812247,0.900131317196758,8.6588108464293,0.14212263507226,0.676124515868841,0.210201866278474,0.833510123024573,0.90921842968619
"Keap1",908.395824954837,0.202593216731344,0.245266133200302,0.826013824606968,0.408796249641663,0.663405639081316,908.395824954837,0.234865793474044,0.245151894238794,0.958041928263744,0.338041616450556,0.566979337936476,908.395824954837,0.599558789515843,0.233562618789188,2.56701518686516,0.0102578119688461,0.0618565621108646
"Ptprg",10.0368892028673,1.2011115855772,0.821826728680678,1.46151438455331,0.143874330895459,0.387947680890761,10.0368892028673,0.549012129918226,0.826050387098629,0.664623052652447,0.506291620849497,0.706370305674371,10.0368892028673,0.676065948969048,0.789365046096164,0.856468059122403,0.391738933027126,0.590330609201036
"Nkiras1",101.131886615261,0.321454027840805,0.266160225328245,1.20774630185396,0.227144862106802,0.492942017260749,101.131886615261,0.42859067807666,0.265048042103681,1.61703016055107,0.105871770680911,0.292272461212441,101.131886615261,0.595951592879084,0.25289915534121,2.35647917477237,0.0184491020784371,0.0887755820638236
"Htatip2",422.800082081003,-0.426471148314088,0.235022802006505,-1.81459477409466,0.0695862061945983,0.269013432235057,422.800082081003,-0.438887732125949,0.234787013569037,-1.86930156593562,0.0615808703960031,0.21892281906836,422.800082081003,-0.194469521383987,0.223681473549236,-0.869403792358251,0.384626309539936,0.584185319388467
"Mavs",256.600825773746,-0.365315821792278,0.286501220666463,-1.27509342173997,0.202276177475599,0.465396055768674,256.600825773746,-0.291055705249715,0.286043418245262,-1.01752281886156,0.308904782635877,0.537095138818735,256.600825773746,0.206852450228664,0.272249836824345,0.759789069633585,0.447380677512889,0.639396059940276
"Ca5b",49.4922605343956,-0.427491796689281,0.413795761892381,-1.03309853811519,0.301557787420727,0.568913675687748,49.4922605343956,-0.275895787553538,0.411901585272522,-0.66980996776451,0.502978938564046,0.704134171580809,49.4922605343956,-0.47155454317786,0.394256851688027,-1.19605922169489,0.231673449353612,0.433750449312236
