"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NAT2",0.189627232142857,0.170611856823266,2.39185194186048,0.0171506091623039,0.038636039943332,-4.5824222679456
"LOC339240",-0.151512946428571,-0.0227393736017897,-2.39180418061375,0.0171528137786027,0.0386374344755953,-4.58253498410472
"GPD2",-0.149759821428571,-0.0119355704697987,-2.39128183442834,0.0171769410935291,0.0386882059864236,-4.58376757349689
"STX17",-0.139413392857143,-0.0726599552572707,-2.39080748565919,0.0171988772642957,0.0387340333804398,-4.58488667486022
"HIST4H4",-0.155107142857143,-0.0219418344519016,-2.3903779457924,0.017218762520219,0.0387752338132054,-4.58589987439911
"AW780096",0.142126785714286,-0.0533185682326622,2.39031243171457,0.0172217972273418,0.0387784840912831,-4.58605439352334
"ZCCHC12",-0.129015178571429,-0.0872082774049217,-2.38971970500993,0.017249274585486,0.0388367664325162,-4.58745218929402
"FAM46A",-0.16230625,-0.0635680089485459,-2.38964489748243,0.0172527452191995,0.0388409918238593,-4.58762857984548
"AW173119",0.151474107142857,0.0725610738255034,2.3889858818274,0.0172833462662785,0.0389062893133188,-4.58918225652769
"AW592104",0.147594642857143,0.0337192393736018,2.38893432313756,0.0172857423800353,0.0389080888894052,-4.58930379219258
"LOC100131138",-0.142701785714286,-0.105436017897092,-2.3888331543698,0.0172904448981121,0.0389144758995164,-4.58954226275508
"SRP9",-0.147502678571428,0.127371364653244,-2.38880456814793,0.0172917738443846,0.0389144758995164,-4.58960964315151
"CDKN2BAS",-0.137573660714286,-0.115560178970917,-2.38857033479943,0.0173026665154885,0.0389353936327845,-4.59016172339366
"MAGEA8",-0.104967857142857,-0.108757718120805,-2.38830883361016,0.0173148343682244,0.0389591767206734,-4.59077801059615
"CA417518",0.150313392857143,-0.0106736017897092,2.3879949100839,0.0173294514155114,0.0389878547889603,-4.59151775599049
"PM20D1",-0.151570535714286,-0.082079418344519,-2.38796639173691,0.0173307798372463,0.0389878547889603,-4.5915849533729
"FBXO34",-0.146725446428571,0.0214228187919463,-2.38691659251903,0.0173797432406007,0.0390911472524012,-4.59405803536205
"KCTD19",0.153407142857143,0.044392841163311,2.38691316001134,0.0173799035346567,0.0390911472524012,-4.59406611980789
"ADCK5",0.122340178571429,-0.172926845637584,2.38681575978201,0.0173844525524123,0.0390977701704829,-4.59429551787908
"AK125234",-0.147819196428571,-0.068024384787472,-2.38587561282715,0.0174284154118591,0.0391930257250075,-4.59650929229324
"HSFY1",0.1489625,0.0105391498881432,2.3857387340345,0.0174348242438348,0.0392038199846606,-4.59683153128857
"DA175295",-0.159025,-0.115441610738255,-2.38502852687777,0.0174681103002124,0.0392750426089293,-4.59850320570409
