""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"15N_DN_C"	"0.373905164602839"	"-0.171549380851706"	"-0.00256720024161885"	"-0.424192086982785"	"0.292962851102386"	"Basal"	"0.99"	"33.5256611455576"	"med"	"0.497495654755861"	"57.1170684565604"	"high"	"-1.62296131437319"	"1.19750759205137"
"16L_DN_C"	"-0.0771670190274841"	"-0.307762005436424"	"0.288432497734823"	"-0.318785865297493"	"0.216248867411658"	"LumA"	"0.94"	"18.9931617975732"	"low"	"0.294148810149097"	"45.3132150274624"	"med"	"1.53221938635248"	"1.63946241419358"
"16L_DN_D"	"-0.283298097251586"	"-0.269858048927816"	"0.445937783147085"	"-0.129266082754455"	"0.206735125339777"	"LumA"	"1"	"15.1679922264466"	"low"	"-0.1781632740542"	"26.1718577220571"	"med"	"0.440193098172553"	"1.47935130626014"
"16R_DN_D"	"0.00347327091513138"	"-0.417849592268197"	"0.380549682875264"	"-0.285563273935367"	"0.443823618242223"	"Normal"	"1"	"14.514876458152"	"low"	"-0.94282517405125"	"-5.69288314606323"	"low"	"0.08431572978796"	"1.16141385527292"
"17N_DN_D"	"-0.237692540018121"	"-0.372244035034733"	"0.602536997885835"	"-0.378888553307158"	"0.398369072787677"	"LumA"	"1"	"3.22652452804377"	"low"	"-0.554296333953048"	"7.15127371066369"	"low"	"0.228694290991999"	"1.6840159939072"
"17N_DN_A"	"-0.238797504254112"	"-0.250952110850012"	"0.512033060529941"	"-0.259379304756503"	"0.240580179888178"	"LumA"	"1"	"10.7501275424339"	"low"	"-0.122939395580392"	"27.024969444101"	"med"	"1.03840161681673"	"1.91400654675758"
"2N_DN_"	"-0.0228027786167321"	"-0.221987315010571"	"0.286771368166717"	"-0.385231048021746"	"0.364995469646632"	"Normal"	"0.98"	"19.4782892541795"	"low"	"0.253195218483683"	"44.0077248854813"	"med"	"0.639258810711707"	"0.982150084563145"
"2R_DN_A"	"-0.29130172153428"	"-0.37979462398067"	"0.606463304137723"	"-0.410903050437934"	"0.561461794019934"	"LumA"	"1"	"2.15215460301668"	"low"	"-1.15547157292337"	"-17.0759198257081"	"low"	"0.646967227625709"	"0.839118654043962"
"2R_DN_C"	"-0.162941709453337"	"-0.294321957112655"	"0.355330715795832"	"-0.337813349441256"	"0.357293868921776"	"Normal"	"0.98"	"15.6740900184767"	"low"	"-0.0600557888884971"	"30.4665614066437"	"med"	"0.956472879020385"	"1.11702811379488"
"2R_DN_D"	"0.230370310347622"	"0.293250141803744"	"-0.556762012802852"	"0.331982821489344"	"-0.373308483915404"	"LumB"	"0.97"	"75.2496734846542"	"high"	"0.795104458858946"	"83.3645198695477"	"high"	NA	"-1.56963783572939"
"3L_DN_D"	"0.210661431591664"	"0.175626698882513"	"-0.401842343702809"	"0.412715191784959"	"-0.405768649954696"	"LumB"	"0.99"	"68.3548596281557"	"high"	"0.736500461852753"	"78.8092965149798"	"high"	"0.591237685723797"	"-0.921243211550541"
"3L_DN_A"	"-0.280881908788886"	"-0.240561763817578"	"0.542887345212927"	"-0.250377529447297"	"0.280428873452129"	"LumA"	"1"	"9.56557353865012"	"low"	"-0.275235045053603"	"20.755913510656"	"med"	"0.495479538393272"	"1.55173861238953"
