""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"14N_DN_D"	"0.0306553911205074"	"-0.361220175173664"	"0.393989731199034"	"-0.519631531259438"	"0.546964663243733"	"Normal"	"1"	"11.0089839627267"	"low"	"-0.314968692648961"	"18.2602971427691"	"med"	"-0.49194157787091"	"1.37925843234793"
"14R_DN_B"	"-0.373308483915404"	"-0.294060448910137"	"0.63471355643789"	"-0.235556275828539"	"0.352888744834292"	"LumA"	"1"	"4.76441129787366"	"low"	"-0.463226139705954"	"11.9017042269006"	"med"	"1.11221779267082"	"1.65283948985527"
"15L_DN_B"	"-0.113862881304742"	"-0.290244639081848"	"0.429779522802779"	"-0.432799758381154"	"0.481576562971912"	"Normal"	"1"	"11.3025003922753"	"low"	"-0.530850049394719"	"10.3602064419527"	"low"	"0.23622224629822"	"1.15063759389744"
"15N_DN_C"	"0.369374811235276"	"-0.180459075807913"	"0.00468136514648143"	"-0.425702204771972"	"0.304741769858049"	"Basal"	"0.98"	"33.0468125854993"	"med"	"0.479343040285993"	"56.2321632655985"	"high"	"-1.60393950915265"	"1.22887230677954"
"16L_DN_C"	"-0.0643310178193899"	"-0.328148595590456"	"0.298399275143461"	"-0.328601630927212"	"0.232105104198127"	"LumA"	"0.95"	"18.1804376079734"	"low"	"0.277473337093405"	"44.3131137638143"	"med"	"1.5347111860029"	"1.66686204378407"
"16L_DN_D"	"-0.297795228027786"	"-0.265327695560254"	"0.458924796134099"	"-0.119450317124736"	"0.204620960434914"	"LumA"	"1"	"14.7884080881909"	"low"	"-0.19264070798001"	"25.5453880863258"	"med"	"0.448286887434482"	"1.50791045236308"
"16R_DN_D"	"-0.00362428269405014"	"-0.437330111748716"	"0.398822108124434"	"-0.286771368166717"	"0.453639383871942"	"Normal"	"1"	"13.4163415889992"	"low"	"-0.955344884129734"	"-6.56092215507649"	"low"	"0.0948511307713545"	"1.19477388037164"
"17N_DN_D"	"-0.235578375113259"	"-0.36167321051042"	"0.59830866807611"	"-0.374811235276352"	"0.397916037450921"	"LumA"	"1"	"3.63549688595946"	"low"	"-0.566549515957958"	"6.82016011635697"	"low"	"0.237343540382106"	"1.71032184206974"
"17N_DN_A"	"-0.230370310347622"	"-0.254679523539421"	"0.50976420063204"	"-0.270399481403452"	"0.252248602220241"	"LumA"	"1"	"10.6469773681225"	"low"	"-0.138144212308117"	"26.3495767230199"	"med"	"1.04364406074024"	"1.94110592164575"
"2N_DN_"	"-0.0176683781334944"	"-0.248565388100272"	"0.298701298701299"	"-0.400332225913621"	"0.388704318936877"	"Normal"	"0.99"	"18.3668475100823"	"low"	"0.235715198309094"	"42.8733366072588"	"med"	"0.647322415715047"	"1.01591702757302"
